,Forecast,Lower_CI,Upper_CI,Mean
2025-07-31,320.32797,288.2964,359.29895,323.79767
2025-08-01,320.74084,288.54852,347.68597,318.11725
2025-08-04,321.14664,302.304,347.64975,324.97687
2025-08-05,321.535,290.0656,356.26758,323.1666
2025-08-06,321.89532,301.1337,361.50473,331.3192
2025-08-07,322.2222,303.25604,348.8636,326.0598
2025-08-08,322.5152,303.83853,359.70322,331.77087
2025-08-11,322.77704,298.42383,360.93195,329.6779
2025-08-12,323.0127,287.29163,367.9394,327.6155
2025-08-13,323.2274,308.404,352.96533,330.68466
2025-08-14,323.42618,294.86093,347.33987,321.1004
2025-08-15,323.6133,296.2024,353.75897,324.98068
2025-08-18,323.79218,295.3491,354.0814,324.71524
2025-08-19,323.96512,286.912,361.44537,324.17868
2025-08-20,324.1336,287.03625,365.07483,326.05554
2025-08-21,324.29855,294.6565,344.00677,319.33163
2025-08-22,324.4603,302.42624,345.34274,323.8845
2025-08-25,324.61877,287.91125,361.71057,324.8109
2025-08-26,324.77386,298.61835,351.22137,324.91986
2025-08-27,324.92532,302.42435,361.65274,332.03854
2025-08-28,325.0729,288.79727,357.57736,323.18732
2025-08-29,325.21637,299.36044,362.71268,331.03656
2025-09-01,325.35553,292.43442,356.61545,324.52493
2025-09-02,325.49036,303.89594,356.5926,330.24426
2025-09-03,325.62082,293.6758,359.75943,326.71762
2025-09-04,325.74695,304.39932,353.5801,328.98972
2025-09-05,325.86877,296.09268,351.6379,323.8653
2025-09-08,325.98648,294.32037,356.37305,325.3467
2025-09-09,326.1002,287.05457,355.24042,321.1475
2025-09-10,326.21002,289.91504,351.23193,320.5735
2025-09-11,326.31613,297.7496,348.73917,323.2444
2025-09-12,326.4186,304.26453,355.73523,329.99988
2025-09-15,326.51764,298.4907,356.3743,327.4325
2025-09-16,326.61337,300.98306,348.95224,324.96765
2025-09-17,326.7059,301.55728,352.08054,326.8189
2025-09-18,326.79532,295.81805,364.6751,330.24658
2025-09-19,326.88177,297.593,355.97086,326.78192
